                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94348,                0.66456,                 1.1538,                0.67389,                0.72238,                0.72974,                0.49669,                 1.2041,                0.96895,                 1.3562,              0.0011649,              0.0011649,              0.0011649
                     36,                 0.9136,                0.63418,                 1.1268,                0.72804,                0.67445,                0.72159,                 0.4893,                 1.2276,                0.93271,                 1.3756,              0.0011627,              0.0011627,              0.0011627
                     37,                 0.9059,                0.62441,                 1.1229,                0.68947,                   0.71,                0.72875,                0.48638,                 1.2588,                0.95948,                 1.3936,              0.0011605,              0.0011605,              0.0011605
                     38,                0.89896,                0.61918,                 1.1195,                0.69106,                0.69169,                0.71459,                0.49605,                 1.1758,                0.97659,                 1.3464,              0.0011583,              0.0011583,              0.0011583
                     39,                0.90371,                0.64165,                 1.1227,                0.68986,                0.70776,                0.73258,                0.50028,                 1.1822,                0.95982,                 1.3516,               0.001156,               0.001156,               0.001156
                     40,                0.88922,                0.61541,                 1.1081,                0.70139,                0.72358,                0.73327,                0.49684,                 1.2062,                0.94824,                  1.367,              0.0011536,              0.0011536,              0.0011536
                     41,                0.88802,                0.61425,                 1.1137,                0.71079,                0.71308,                0.73987,                0.50602,                 1.1881,                0.94389,                 1.3613,              0.0011511,              0.0011511,              0.0011511
                     42,                0.90291,                0.62812,                 1.1152,                0.71931,                 0.7131,                0.74317,                0.50457,                  1.222,                0.94562,                 1.3917,              0.0011486,              0.0011486,              0.0011486
                     43,                0.87149,                0.60493,                 1.1101,                0.72307,                0.72022,                0.74717,                0.50669,                 1.2354,                0.95408,                  1.388,              0.0011461,              0.0011461,              0.0011461
                     44,                0.86696,                 0.5902,                 1.1035,                0.72532,                0.70858,                 0.7472,                0.51296,                 1.2037,                0.94462,                 1.3724,              0.0011435,              0.0011435,              0.0011435
                     45,                 0.8774,                 0.5986,                 1.1183,                0.71425,                 0.7187,                0.74287,                0.50565,                 1.2039,                0.94457,                  1.374,              0.0011408,              0.0011408,              0.0011408
                     46,                 0.8622,                0.58531,                 1.1021,                0.70646,                0.71936,                0.74545,                0.50073,                 1.2572,                0.94817,                 1.4063,              0.0011381,              0.0011381,              0.0011381
                     47,                 0.8579,                0.57597,                 1.0862,                0.68955,                0.73166,                0.74513,                0.51289,                 1.1942,                0.93832,                 1.3668,              0.0011353,              0.0011353,              0.0011353
                     48,                0.84389,                0.55785,                  1.083,                0.70905,                0.70576,                 0.7422,                0.50901,                 1.1929,                 0.9269,                 1.3797,              0.0011324,              0.0011324,              0.0011324
                     49,                 0.8271,                0.54273,                 1.0765,                0.70713,                0.71881,                0.74246,                0.50364,                 1.2138,                0.90914,                 1.3871,              0.0011295,              0.0011295,              0.0011295
                     50,                0.82394,                0.53904,                 1.0748,                0.68369,                0.72107,                0.73606,                0.49854,                 1.2106,                0.93831,                 1.3864,              0.0011265,              0.0011265,              0.0011265
                     51,                0.81688,                0.53966,                 1.0667,                0.64819,                0.74442,                0.74061,                0.49562,                 1.2446,                0.91891,                 1.4065,              0.0011235,              0.0011235,              0.0011235
                     52,                  0.811,                0.52751,                 1.0602,                0.72297,                0.69339,                0.73241,                0.49396,                 1.2344,                0.92033,                  1.406,              0.0011204,              0.0011204,              0.0011204
                     53,                0.80181,                0.51857,                 1.0604,                0.71313,                0.70479,                0.73384,                0.49679,                 1.2301,                0.92385,                 1.4054,              0.0011173,              0.0011173,              0.0011173
                     54,                0.80277,                0.52436,                 1.0603,                0.69545,                0.70231,                 0.7238,                0.48886,                 1.2189,                0.93224,                 1.3999,              0.0011141,              0.0011141,              0.0011141
                     55,                0.82061,                0.54538,                 1.0701,                0.70647,                0.69887,                0.74107,                0.50872,                 1.1901,                 0.9137,                 1.3922,              0.0011108,              0.0011108,              0.0011108
                     56,                0.80088,                 0.5298,                 1.0623,                0.71527,                0.72166,                0.73671,                0.50309,                 1.2132,                0.92169,                 1.3985,              0.0011075,              0.0011075,              0.0011075
                     57,                0.78995,                0.50946,                 1.0508,                0.72855,                0.71897,                0.74316,                0.50065,                 1.2303,                0.92434,                 1.4106,              0.0011042,              0.0011042,              0.0011042
                     58,                0.78982,                0.50792,                 1.0441,                0.71548,                0.71621,                0.73842,                0.50037,                 1.2239,                0.91093,                 1.4128,              0.0011008,              0.0011008,              0.0011008
                     59,                0.79341,                0.51103,                 1.0507,                0.70813,                0.68083,                0.72837,                0.49499,                 1.2193,                0.92222,                 1.4104,              0.0010973,              0.0010973,              0.0010973
                     60,                0.79185,                 0.5001,                 1.0492,                0.70917,                0.70482,                0.74262,                0.50831,                 1.1991,                 0.8942,                 1.3944,              0.0010938,              0.0010938,              0.0010938
                     61,                  0.784,                0.50281,                 1.0488,                0.73455,                0.71511,                0.74809,                0.50494,                 1.2379,                0.90906,                  1.408,              0.0010902,              0.0010902,              0.0010902
                     62,                0.77211,                0.49646,                 1.0397,                0.67842,                0.75026,                0.75022,                0.50784,                 1.2352,                0.90934,                 1.4077,              0.0010866,              0.0010866,              0.0010866
                     63,                0.76027,                0.48218,                 1.0413,                0.67296,                0.75212,                0.75222,                0.51505,                 1.2171,                0.90402,                 1.4068,              0.0010829,              0.0010829,              0.0010829
                     64,                0.75444,                0.47506,                 1.0298,                 0.7352,                0.70363,                0.73667,                0.50391,                 1.2149,                0.89563,                 1.4131,              0.0010791,              0.0010791,              0.0010791
                     65,                  0.747,                0.46925,                 1.0189,                 0.6773,                 0.7303,                0.73337,                0.50467,                 1.1931,                0.89506,                 1.3895,              0.0010754,              0.0010754,              0.0010754
                     66,                0.75831,                0.47882,                 1.0253,                0.70086,                0.73322,                0.74038,                0.50317,                 1.2174,                0.93039,                 1.4108,              0.0010715,              0.0010715,              0.0010715
                     67,                 0.7481,                0.47627,                 1.0226,                0.71036,                 0.7307,                0.74471,                0.51156,                 1.2213,                0.89174,                 1.4272,              0.0010676,              0.0010676,              0.0010676
                     68,                0.73473,                0.46613,                 1.0159,                0.69115,                0.72929,                0.74371,                0.51367,                 1.2017,                 0.9094,                 1.4101,              0.0010637,              0.0010637,              0.0010637
                     69,                 0.7256,                0.45961,                 1.0093,                0.66096,                0.74544,                0.73897,                0.49867,                  1.225,                0.94187,                 1.4267,              0.0010597,              0.0010597,              0.0010597
                     70,                0.73784,                0.46395,                 1.0186,                0.68699,                 0.7417,                0.73705,                0.49928,                   1.23,                0.89933,                 1.4325,              0.0010557,              0.0010557,              0.0010557
                     71,                0.74383,                0.47695,                 1.0211,                0.71691,                0.72656,                0.75014,                0.51408,                 1.2013,                0.90789,                 1.4141,              0.0010516,              0.0010516,              0.0010516
                     72,                0.71356,                0.45158,                 1.0035,                0.71801,                0.75297,                0.75875,                0.51867,                 1.2068,                0.87956,                 1.4126,              0.0010474,              0.0010474,              0.0010474
                     73,                0.71116,                0.44333,                0.99958,                0.70874,                0.73331,                0.75242,                0.51904,                 1.1936,                0.87713,                 1.4047,              0.0010432,              0.0010432,              0.0010432
                     74,                0.71672,                0.44928,                 1.0086,                0.65897,                0.73786,                0.73983,                 0.5085,                 1.2118,                0.90436,                 1.4172,               0.001039,               0.001039,               0.001039
                     75,                 0.7264,                0.45613,                 1.0099,                0.66749,                0.73873,                0.73967,                0.49822,                 1.2283,                0.90599,                 1.4226,              0.0010347,              0.0010347,              0.0010347
                     76,                0.71732,                0.44903,                 1.0031,                0.70406,                 0.7058,                0.73649,                0.50022,                 1.2107,                0.89884,                 1.4172,              0.0010304,              0.0010304,              0.0010304
                     77,                0.73793,                0.46799,                 1.0119,                0.67998,                0.72783,                0.73442,                0.50218,                 1.1997,                0.89356,                 1.4211,               0.001026,               0.001026,               0.001026
                     78,                0.71524,                0.44831,                  1.001,                0.69268,                0.73554,                0.74011,                0.50824,                 1.1933,                0.88535,                 1.4157,              0.0010216,              0.0010216,              0.0010216
