                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5096,                 1.6147,                 1.5186,                0.91968,                0.65303,                0.85569,                0.48511,                 1.3457,                 4.1357,                 1.4666,                0.06795,             0.00065409,             0.00065409
                      2,                 1.5256,                  1.221,                 1.5332,                 0.2215,                0.58077,                0.18001,                0.09303,                    nan,                    nan,                    nan,               0.035283,              0.0013207,              0.0013207
                      3,                 1.5522,                 1.1826,                 1.6003,                0.71577,                0.62188,                0.65475,                0.36981,                 1.5732,                 1.6409,                 1.8341,              0.0026161,              0.0019872,              0.0019872
                      4,                 1.4388,                 1.0492,                 1.5248,                0.77033,                0.77277,                0.81009,                0.44242,                 1.5778,                 1.1636,                 1.6554,              0.0019995,              0.0019995,              0.0019995
                      5,                 1.4545,                 1.0195,                 1.5373,                0.82699,                0.85209,                0.85891,                0.50921,                 1.3813,                 1.1211,                 1.5571,              0.0019995,              0.0019995,              0.0019995
                      6,                 1.4261,                0.94323,                   1.48,                0.84111,                0.85042,                0.89166,                0.54716,                 1.3026,                0.92483,                 1.4708,              0.0019991,              0.0019991,              0.0019991
                      7,                  1.508,                0.96198,                 1.5579,                0.85587,                 0.8516,                0.89993,                0.54174,                 1.3166,                0.84081,                 1.4945,              0.0019986,              0.0019986,              0.0019986
                      8,                 1.4392,                0.94218,                 1.4937,                0.86191,                0.87598,                0.91721,                0.57701,                 1.2845,                0.79103,                 1.4073,               0.001998,               0.001998,               0.001998
                      9,                 1.3285,                0.86828,                 1.4466,                0.89393,                0.86384,                0.92735,                0.56989,                 1.3139,                0.75481,                 1.4287,              0.0019973,              0.0019973,              0.0019973
                     10,                 1.3524,                0.85851,                 1.4484,                 0.8839,                0.87524,                0.92826,                0.59336,                 1.2368,                0.80753,                 1.3874,              0.0019965,              0.0019965,              0.0019965
                     11,                 1.3429,                  0.837,                 1.4475,                0.87002,                0.86533,                0.91288,                0.56854,                 1.3272,                0.76281,                 1.4207,              0.0019956,              0.0019956,              0.0019956
                     12,                 1.3575,                0.82748,                 1.4624,                0.89177,                0.84884,                0.91803,                0.54649,                 1.4247,                0.77619,                 1.4591,              0.0019946,              0.0019946,              0.0019946
                     13,                 1.2978,                0.80887,                 1.4107,                0.88234,                 0.8778,                0.92532,                0.56751,                 1.3593,                0.72141,                 1.4306,              0.0019934,              0.0019934,              0.0019934
                     14,                 1.2992,                0.76984,                 1.4072,                0.88598,                0.86384,                0.92485,                0.58386,                  1.246,                0.72954,                 1.3877,              0.0019922,              0.0019922,              0.0019922
                     15,                 1.3307,                0.77265,                 1.4209,                0.83337,                0.73544,                0.82591,                0.49728,                 1.4697,                 1.1198,                 1.5094,              0.0019908,              0.0019908,              0.0019908
                     16,                 1.3363,                  0.774,                 1.4402,                0.89108,                0.90386,                0.94661,                0.60636,                 1.2482,                0.66474,                 1.3821,              0.0019894,              0.0019894,              0.0019894
                     17,                 1.2847,                0.72607,                 1.3989,                0.90023,                0.88915,                0.94069,                0.61689,                 1.1696,                0.63459,                 1.3588,              0.0019878,              0.0019878,              0.0019878
                     18,                 1.2299,                0.70043,                 1.3831,                0.87928,                0.90038,                0.93445,                0.59796,                 1.2123,                0.73566,                  1.378,              0.0019861,              0.0019861,              0.0019861
                     19,                 1.2292,                0.70919,                  1.386,                0.89516,                0.86935,                0.92657,                0.60309,                 1.2139,                0.66031,                 1.3749,              0.0019844,              0.0019844,              0.0019844
                     20,                 1.2046,                0.68611,                 1.3733,                0.90659,                0.90418,                0.94862,                0.61161,                 1.2308,                0.65479,                 1.3704,              0.0019825,              0.0019825,              0.0019825
                     21,                 1.2235,                0.68265,                 1.3864,                 0.8947,                0.91337,                0.94709,                0.62063,                 1.1775,                0.61063,                 1.3712,              0.0019805,              0.0019805,              0.0019805
                     22,                 1.2143,                0.64639,                 1.3557,                0.91588,                0.90383,                0.94432,                0.61928,                 1.1988,                0.61147,                 1.3502,              0.0019784,              0.0019784,              0.0019784
                     23,                 1.2692,                 0.6988,                 1.3924,                0.89023,                0.89117,                 0.9359,                0.60053,                 1.2062,                 0.6559,                  1.388,              0.0019762,              0.0019762,              0.0019762
                     24,                 1.1982,                0.68169,                 1.3632,                0.91856,                0.89937,                0.95125,                 0.6311,                 1.1687,                0.60734,                 1.3437,              0.0019738,              0.0019738,              0.0019738
                     25,                 1.1821,                0.65535,                 1.3634,                0.92088,                0.91341,                0.95474,                0.62242,                 1.2156,                0.59136,                 1.3807,              0.0019714,              0.0019714,              0.0019714
                     26,                 1.2506,                0.67857,                 1.3854,                0.89998,                0.89191,                0.93603,                0.60426,                 1.2329,                0.63153,                 1.3799,              0.0019689,              0.0019689,              0.0019689
                     27,                 1.2023,                0.65732,                 1.3596,                0.90831,                0.91371,                0.95104,                0.62197,                 1.1883,                0.58613,                 1.3737,              0.0019663,              0.0019663,              0.0019663
                     28,                 1.1877,                0.63634,                 1.3394,                0.92647,                 0.9067,                0.95701,                0.61929,                 1.2184,                0.57767,                 1.3581,              0.0019635,              0.0019635,              0.0019635
                     29,                 1.2006,                0.62545,                 1.3471,                0.91993,                  0.914,                0.95482,                0.63659,                  1.155,                0.57832,                  1.359,              0.0019607,              0.0019607,              0.0019607
                     30,                  1.171,                0.62674,                 1.3511,                0.93215,                 0.8943,                0.94849,                0.62394,                  1.226,                 0.5991,                 1.3693,              0.0019577,              0.0019577,              0.0019577
                     31,                 1.1671,                0.61222,                 1.3468,                0.91775,                0.91622,                 0.9538,                0.63005,                 1.2085,                0.58844,                 1.3666,              0.0019547,              0.0019547,              0.0019547
                     32,                 1.1806,                0.62686,                 1.3537,                0.91087,                0.91759,                0.95415,                0.62338,                 1.2108,                0.57989,                 1.3684,              0.0019515,              0.0019515,              0.0019515
                     33,                 1.1642,                0.59861,                 1.3388,                0.92123,                0.91699,                 0.9562,                0.63984,                 1.1571,                0.55831,                 1.3407,              0.0019483,              0.0019483,              0.0019483
                     34,                  1.139,                0.58301,                 1.3245,                0.93267,                0.91012,                0.95714,                0.64098,                 1.1749,                0.54716,                 1.3298,              0.0019449,              0.0019449,              0.0019449
                     35,                 1.1601,                0.59501,                 1.3315,                0.91899,                0.91162,                0.95216,                0.63003,                 1.1928,                0.57388,                 1.3561,              0.0019415,              0.0019415,              0.0019415
                     36,                  1.116,                0.57222,                 1.3002,                 0.9126,                0.92291,                0.95081,                0.63216,                 1.1396,                0.55082,                 1.3344,              0.0019379,              0.0019379,              0.0019379
                     37,                 1.1303,                0.59058,                 1.3138,                0.91814,                0.90505,                0.95256,                0.63978,                 1.1758,                0.57831,                 1.3543,              0.0019342,              0.0019342,              0.0019342
                     38,                 1.1323,                0.58638,                 1.3436,                0.92792,                0.89559,                0.95237,                0.63393,                 1.2055,                0.58003,                 1.3779,              0.0019305,              0.0019305,              0.0019305
                     39,                 1.1657,                0.63156,                 1.3498,                0.91853,                0.91571,                0.95204,                0.62649,                  1.192,                0.56789,                 1.3541,              0.0019266,              0.0019266,              0.0019266
                     40,                 1.1656,                0.60583,                 1.3589,                0.92269,                0.91759,                0.95713,                0.62044,                 1.2489,                0.57375,                 1.3873,              0.0019226,              0.0019226,              0.0019226
                     41,                 1.1567,                0.58082,                 1.3268,                0.91858,                0.91609,                 0.9562,                0.63735,                 1.1583,                0.55211,                 1.3486,              0.0019186,              0.0019186,              0.0019186
                     42,                 1.1366,                0.58542,                 1.3119,                0.92261,                0.90684,                0.94729,                 0.6286,                 1.1834,                0.56123,                 1.3471,              0.0019144,              0.0019144,              0.0019144
                     43,                  1.121,                0.58044,                  1.313,                0.91797,                0.91072,                0.94965,                0.62816,                 1.1877,                0.55587,                 1.3406,              0.0019101,              0.0019101,              0.0019101
                     44,                 1.1171,                0.57926,                 1.3059,                0.91986,                0.91908,                0.95808,                0.63713,                 1.1784,                 0.5458,                 1.3497,              0.0019058,              0.0019058,              0.0019058
                     45,                 1.1331,                0.58862,                  1.324,                0.92129,                0.90982,                0.95553,                0.63957,                 1.1542,                  0.557,                 1.3428,              0.0019013,              0.0019013,              0.0019013
                     46,                 1.1094,                0.57087,                 1.3181,                0.92614,                0.89907,                0.94989,                 0.6358,                 1.1819,                 0.5642,                 1.3588,              0.0018968,              0.0018968,              0.0018968
                     47,                 1.1009,                0.55908,                  1.301,                0.91717,                0.92576,                0.95561,                0.63689,                 1.1696,                0.55827,                 1.3559,              0.0018921,              0.0018921,              0.0018921
                     48,                  1.099,                0.55368,                 1.2904,                0.90679,                0.93245,                0.95854,                0.64198,                 1.1304,                0.52098,                 1.3267,              0.0018873,              0.0018873,              0.0018873
                     49,                 1.0732,                0.53482,                 1.2838,                 0.9256,                 0.9175,                0.95681,                0.63904,                 1.1818,                0.53038,                 1.3377,              0.0018825,              0.0018825,              0.0018825
                     50,                 1.0867,                0.54801,                 1.2852,                 0.9249,                0.91998,                0.95809,                0.64485,                 1.1416,                0.52694,                 1.3345,              0.0018775,              0.0018775,              0.0018775
                     51,                 1.1033,                0.54696,                  1.291,                0.93006,                0.90133,                0.95445,                0.63884,                 1.1569,                0.53724,                 1.3402,              0.0018725,              0.0018725,              0.0018725
