                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3792,                 1.5492,                 1.4328,                0.82034,                0.86593,                0.88886,                0.56474,                  1.277,                 0.8768,                 1.3989,               0.067688,             0.00039245,             0.00039245
                      2,                  1.373,                0.95387,                   1.41,                0.83754,                0.84383,                0.88753,                0.55136,                 1.3098,                 1.2595,                 1.4017,               0.034755,             0.00079243,             0.00079243
                      3,                 1.3132,                0.86136,                 1.3737,                0.88055,                 0.8717,                0.92195,                0.59164,                 1.2309,                0.97344,                 1.3735,              0.0018213,              0.0011923,              0.0011923
                      4,                 1.3083,                0.78457,                 1.3715,                0.87812,                0.89728,                0.92871,                0.59143,                 1.2509,                0.78765,                 1.3494,              0.0011997,              0.0011997,              0.0011997
                      5,                 1.2413,                0.78787,                 1.3576,                0.86306,                 0.8728,                0.91621,                0.60686,                 1.1951,                0.73993,                 1.3352,              0.0011997,              0.0011997,              0.0011997
                      6,                 1.2378,                0.73915,                 1.3444,                0.90649,                0.89937,                0.94782,                0.63658,                 1.1963,                0.74935,                 1.3321,              0.0011995,              0.0011995,              0.0011995
                      7,                 1.3003,                0.75318,                 1.3933,                0.89186,                0.90385,                0.93059,                 0.6122,                 1.1982,                0.78224,                 1.3464,              0.0011992,              0.0011992,              0.0011992
                      8,                 1.2251,                0.68663,                 1.3512,                0.90861,                0.90836,                 0.9355,                0.63171,                  1.182,                0.66811,                 1.3393,              0.0011988,              0.0011988,              0.0011988
                      9,                 1.2128,                0.67015,                 1.3357,                0.91472,                0.90324,                0.94582,                0.63615,                  1.216,                0.64672,                 1.3368,              0.0011984,              0.0011984,              0.0011984
                     10,                 1.1877,                0.68244,                 1.3112,                 0.9074,                0.90701,                0.94292,                 0.6359,                 1.2011,                0.64542,                 1.3211,              0.0011979,              0.0011979,              0.0011979
                     11,                 1.1492,                0.63799,                 1.2851,                0.90834,                0.91848,                0.94974,                0.65586,                   1.15,                0.60732,                 1.2852,              0.0011974,              0.0011974,              0.0011974
                     12,                 1.1484,                0.58659,                 1.2864,                0.91838,                0.91371,                0.95076,                0.64783,                 1.2037,                0.59401,                  1.309,              0.0011967,              0.0011967,              0.0011967
                     13,                 1.1298,                0.58859,                 1.2867,                0.91365,                0.92356,                0.94764,                0.63315,                 1.2203,                0.58996,                 1.3382,              0.0011961,              0.0011961,              0.0011961
                     14,                 1.1386,                0.57172,                 1.2969,                 0.9243,                0.92655,                0.95864,                0.65456,                 1.1672,                0.56432,                 1.3229,              0.0011953,              0.0011953,              0.0011953
                     15,                 1.1154,                0.55579,                 1.2696,                0.92528,                0.91337,                0.95198,                0.64275,                  1.219,                0.58545,                 1.3374,              0.0011945,              0.0011945,              0.0011945
                     16,                 1.1484,                 0.5717,                 1.2853,                0.91906,                0.92684,                0.95452,                0.65025,                 1.1607,                0.57554,                 1.3463,              0.0011936,              0.0011936,              0.0011936
                     17,                  1.127,                0.56442,                 1.2764,                0.92478,                 0.9155,                0.95288,                0.64506,                 1.1872,                0.56401,                 1.3258,              0.0011927,              0.0011927,              0.0011927
                     18,                 1.0938,                0.54472,                 1.2485,                   0.92,                0.93056,                0.95423,                0.64788,                 1.2047,                0.55987,                 1.3118,              0.0011917,              0.0011917,              0.0011917
                     19,                  1.086,                0.53401,                 1.2399,                0.91754,                0.92037,                0.95122,                0.64966,                 1.1781,                0.56199,                 1.3236,              0.0011906,              0.0011906,              0.0011906
                     20,                 1.0601,                0.51513,                 1.2391,                0.91772,                0.92595,                0.95185,                0.65153,                 1.2132,                0.55626,                 1.3302,              0.0011895,              0.0011895,              0.0011895
                     21,                 1.0282,                0.50169,                 1.2175,                0.91079,                0.93013,                0.95135,                0.65337,                 1.1762,                0.55092,                 1.3233,              0.0011883,              0.0011883,              0.0011883
                     22,                 1.0304,                0.49728,                 1.2063,                0.91858,                0.93341,                0.95689,                0.63493,                 1.2636,                0.56633,                 1.3359,               0.001187,               0.001187,               0.001187
                     23,                 1.0512,                0.51439,                 1.2136,                0.91112,                0.90833,                0.94296,                0.63955,                 1.2139,                0.57228,                 1.3498,              0.0011857,              0.0011857,              0.0011857
                     24,                 1.0495,                 0.5082,                 1.2253,                0.91034,                 0.9277,                 0.9488,                0.64104,                 1.2188,                  0.564,                 1.3448,              0.0011843,              0.0011843,              0.0011843
                     25,                 1.0396,                0.50347,                 1.2235,                0.91337,                0.93496,                0.94786,                0.63631,                 1.2034,                 0.5731,                 1.3539,              0.0011829,              0.0011829,              0.0011829
                     26,                 1.0217,                0.49378,                 1.2079,                0.91729,                0.92721,                0.95423,                0.65822,                 1.1842,                 0.5452,                 1.3364,              0.0011813,              0.0011813,              0.0011813
                     27,                 1.0197,                0.48344,                 1.2102,                0.92368,                0.91793,                0.95404,                 0.6436,                 1.1966,                0.55369,                 1.3926,              0.0011798,              0.0011798,              0.0011798
                     28,                 1.0271,                0.48165,                 1.2226,                0.92459,                 0.9152,                0.95111,                 0.6472,                 1.2362,                0.55213,                 1.3595,              0.0011781,              0.0011781,              0.0011781
                     29,                0.99902,                0.47699,                 1.1905,                0.91267,                0.92371,                0.95241,                0.65332,                   1.18,                0.55083,                 1.3506,              0.0011764,              0.0011764,              0.0011764
                     30,                0.99868,                0.47127,                 1.1903,                0.91416,                0.93491,                0.95381,                0.65023,                 1.2136,                0.53737,                 1.3505,              0.0011746,              0.0011746,              0.0011746
                     31,                 0.9907,                0.46854,                 1.1822,                  0.928,                 0.9152,                0.95178,                0.64761,                 1.2201,                0.55117,                 1.3535,              0.0011728,              0.0011728,              0.0011728
                     32,                0.97327,                0.46494,                 1.1794,                0.91784,                0.92728,                0.95576,                0.65277,                 1.1797,                0.53057,                  1.357,              0.0011709,              0.0011709,              0.0011709
                     33,                0.95795,                0.45188,                 1.1705,                0.91646,                0.92744,                0.95249,                0.65831,                 1.1754,                 0.5253,                   1.36,               0.001169,               0.001169,               0.001169
                     34,                0.93996,                0.43648,                 1.1588,                0.92382,                0.92334,                 0.9584,                0.65193,                 1.2018,                0.52673,                 1.3587,               0.001167,               0.001167,               0.001167
                     35,                0.94499,                0.43689,                 1.1604,                0.91481,                0.91759,                0.94781,                 0.6515,                 1.2006,                0.54662,                 1.3462,              0.0011649,              0.0011649,              0.0011649
                     36,                0.92055,                0.42868,                 1.1374,                0.92079,                0.92326,                0.95704,                0.65612,                 1.2049,                0.53639,                 1.3546,              0.0011627,              0.0011627,              0.0011627
                     37,                0.92305,                0.42201,                  1.138,                0.91993,                0.92147,                0.95232,                0.63879,                 1.2821,                0.54792,                 1.3971,              0.0011605,              0.0011605,              0.0011605
                     38,                0.91066,                0.42482,                  1.133,                0.92179,                0.92296,                0.95117,                0.65509,                 1.1964,                0.53276,                  1.368,              0.0011583,              0.0011583,              0.0011583
