                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5867,                 1.7422,                 1.6677,                 0.7398,                0.79277,                0.80795,                0.44149,                 1.4307,                 2.7955,                 1.6096,               0.067688,             0.00039245,             0.00039245
                      2,                 1.5593,                 1.3114,                 1.6228,                0.29446,                0.62698,                 0.2847,                0.14155,                 1.6634,                    inf,                 1.5534,               0.034755,             0.00079243,             0.00079243
                      3,                 1.6624,                 1.7397,                 1.7675,                0.15458,                0.81368,                0.14543,                0.06828,                 1.6332,                    inf,                 1.9511,              0.0018213,              0.0011923,              0.0011923
                      4,                 1.5729,                  1.594,                  1.654,                0.65347,                0.82659,                0.66958,                 0.3715,                 1.3231,                 3.6184,                 1.4985,              0.0011997,              0.0011997,              0.0011997
                      5,                 1.5996,                 1.3527,                 1.6312,                0.44654,                0.83258,                0.43816,                0.23535,                 1.4737,                 5.4626,                 1.6665,              0.0011997,              0.0011997,              0.0011997
                      6,                 1.4776,                 1.1448,                 1.6589,                0.66033,                0.86784,                0.66471,                0.36242,                 1.4692,                  4.179,                 1.6432,              0.0011995,              0.0011995,              0.0011995
                      7,                 1.5158,                 1.1403,                 1.6641,                0.83596,                0.86145,                0.89147,                0.47786,                  1.573,                 1.4683,                 1.6899,              0.0011992,              0.0011992,              0.0011992
                      8,                 1.5237,                 1.0526,                 1.6535,                0.85811,                0.87429,                0.91229,                0.52547,                 1.4348,                 1.0943,                 1.5694,              0.0011988,              0.0011988,              0.0011988
                      9,                 1.4522,                0.95416,                 1.5728,                0.87436,                0.88312,                0.92324,                0.54977,                  1.433,                0.95095,                 1.5212,              0.0011984,              0.0011984,              0.0011984
