                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.48,                 1.5645,                 1.5328,                0.53099,                0.59212,                0.53613,                0.27027,                 1.6092,                 4.4205,                 1.7136,               0.067688,             0.00039245,             0.00039245
                      2,                 1.5387,                 1.3086,                 1.5591,                0.38109,                0.62734,                0.34848,                 0.1754,                  1.639,                    inf,                 1.5211,               0.034755,             0.00079243,             0.00079243
                      3,                 1.5909,                 1.5229,                 1.4832,                0.44249,                0.80143,                0.43268,                0.21679,                 1.3983,                    inf,                  1.587,              0.0018213,              0.0011923,              0.0011923
                      4,                  1.418,                   1.54,                 1.4674,                0.67275,                0.73813,                0.70072,                0.41418,                 1.2118,                 3.2393,                 1.3752,              0.0011997,              0.0011997,              0.0011997
                      5,                 1.4123,                 1.1439,                 1.4767,                0.58276,                0.86981,                0.57728,                 0.3199,                 1.3901,                    inf,                 1.4551,              0.0011997,              0.0011997,              0.0011997
                      6,                  1.366,                 1.1656,                 1.4185,                 0.8087,                0.85399,                0.88273,                0.53311,                 1.2152,                 1.6408,                   1.36,              0.0011995,              0.0011995,              0.0011995
                      7,                  1.404,                 1.0495,                 1.4759,                0.81173,                0.85936,                0.88755,                0.53117,                  1.375,                 1.1616,                 1.4774,              0.0011992,              0.0011992,              0.0011992
                      8,                 1.3913,                 1.0438,                 1.4644,                0.85444,                0.86937,                0.90818,                0.55332,                 1.2927,                  1.011,                 1.4247,              0.0011988,              0.0011988,              0.0011988
                      9,                 1.3244,                 0.9018,                  1.412,                0.86632,                0.86881,                0.91535,                0.55865,                 1.2821,                0.98184,                 1.4101,              0.0011984,              0.0011984,              0.0011984
                     10,                 1.3442,                0.88728,                 1.4153,                0.87415,                0.86772,                0.91989,                0.57468,                 1.3194,                0.86175,                 1.3829,              0.0011979,              0.0011979,              0.0011979
                     11,                 1.3074,                0.86865,                 1.3832,                0.87739,                0.88743,                0.92864,                0.59973,                 1.2501,                0.78835,                 1.3497,              0.0011974,              0.0011974,              0.0011974
