                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3129,                0.67978,                 1.3436,                0.92274,                0.89873,                0.95593,                 0.6052,                 1.2892,                0.57811,                 1.3568,              0.0019415,              0.0019415,              0.0019415
                     36,                 1.2602,                0.62792,                 1.2879,                0.92775,                0.91256,                0.95842,                0.62626,                 1.2287,                0.56536,                 1.3328,              0.0019379,              0.0019379,              0.0019379
                     37,                  1.295,                0.65354,                 1.3053,                0.90585,                 0.9143,                0.95426,                0.59883,                  1.302,                0.62483,                 1.3681,              0.0019342,              0.0019342,              0.0019342
                     38,                 1.2642,                0.64632,                 1.3129,                0.92829,                0.91991,                0.96215,                 0.6249,                 1.2276,                0.55929,                 1.3216,              0.0019305,              0.0019305,              0.0019305
                     39,                 1.2734,                0.62382,                 1.2921,                 0.9268,                0.92356,                0.95678,                0.62614,                 1.1902,                0.55452,                 1.3233,              0.0019266,              0.0019266,              0.0019266
                     40,                 1.2452,                0.61256,                 1.2862,                 0.9188,                0.92625,                0.95965,                0.61433,                 1.2668,                0.55749,                 1.3567,              0.0019226,              0.0019226,              0.0019226
                     41,                 1.2768,                0.62949,                 1.3133,                 0.9041,                0.88086,                0.93299,                0.57041,                 1.4059,                0.63922,                 1.4183,              0.0019186,              0.0019186,              0.0019186
                     42,                 1.2516,                0.62774,                 1.2818,                0.92949,                0.91707,                0.95472,                0.60287,                 1.3206,                0.56524,                 1.3806,              0.0019144,              0.0019144,              0.0019144
                     43,                 1.2462,                0.61451,                 1.2805,                0.92248,                0.91968,                0.95863,                0.60836,                 1.2887,                0.55588,                 1.3613,              0.0019101,              0.0019101,              0.0019101
                     44,                 1.2795,                0.63987,                 1.2953,                 0.9214,                0.91354,                0.94849,                0.60873,                 1.2738,                0.57718,                 1.3622,              0.0019058,              0.0019058,              0.0019058
                     45,                 1.2542,                0.62483,                 1.2985,                0.91456,                0.92236,                 0.9579,                0.62876,                 1.2142,                0.55303,                 1.3273,              0.0019013,              0.0019013,              0.0019013
                     46,                 1.2469,                 0.6089,                 1.2674,                0.92412,                0.92365,                0.96003,                0.60586,                 1.3393,                0.57278,                 1.3869,              0.0018968,              0.0018968,              0.0018968
                     47,                  1.258,                0.66087,                  1.275,                 0.9139,                0.91601,                0.95681,                 0.6234,                 1.2273,                0.57377,                 1.3385,              0.0018921,              0.0018921,              0.0018921
                     48,                 1.2397,                0.64089,                 1.3058,                0.90675,                0.90885,                0.94543,                0.61302,                 1.2085,                0.58463,                 1.3239,              0.0018873,              0.0018873,              0.0018873
                     49,                 1.2177,                0.60856,                 1.2552,                0.92763,                0.91878,                0.96096,                0.63415,                 1.1827,                0.54855,                 1.3089,              0.0018825,              0.0018825,              0.0018825
                     50,                 1.2631,                0.65122,                 1.2867,                0.92382,                 0.9158,                0.95429,                0.60716,                 1.2939,                0.57013,                 1.3613,              0.0018775,              0.0018775,              0.0018775
                     51,                 1.2482,                 0.6153,                 1.2697,                0.92795,                0.92386,                0.95695,                0.61237,                 1.2896,                0.54363,                 1.3567,              0.0018725,              0.0018725,              0.0018725
                     52,                 1.2194,                0.60339,                 1.2498,                0.92639,                0.92177,                0.95717,                0.61726,                 1.2601,                0.54227,                 1.3351,              0.0018674,              0.0018674,              0.0018674
                     53,                 1.2346,                0.60381,                 1.2787,                0.92487,                0.92475,                0.96017,                0.59732,                 1.3599,                0.58397,                 1.3946,              0.0018621,              0.0018621,              0.0018621
                     54,                 1.2513,                0.62577,                 1.2709,                 0.9197,                0.92774,                0.95927,                0.61862,                 1.2663,                0.53329,                 1.3445,              0.0018568,              0.0018568,              0.0018568
                     55,                 1.1962,                0.58298,                 1.2798,                0.93917,                0.92446,                0.95855,                0.61598,                  1.246,                0.53976,                 1.3397,              0.0018514,              0.0018514,              0.0018514
                     56,                 1.2178,                0.58056,                 1.2563,                0.91773,                0.93073,                0.96234,                0.61753,                 1.2738,                0.54921,                 1.3477,              0.0018459,              0.0018459,              0.0018459
                     57,                 1.2344,                0.60049,                 1.2829,                0.92071,                0.93272,                0.96049,                0.59899,                 1.3438,                0.55283,                 1.3862,              0.0018403,              0.0018403,              0.0018403
                     58,                 1.2314,                0.58833,                 1.2791,                 0.9314,                0.92034,                0.95779,                0.63197,                 1.1908,                0.52568,                 1.3104,              0.0018346,              0.0018346,              0.0018346
                     59,                 1.1852,                0.57935,                 1.2581,                0.92837,                0.92882,                0.96071,                0.62942,                 1.1991,                0.52888,                 1.3161,              0.0018288,              0.0018288,              0.0018288
                     60,                 1.2069,                0.59677,                 1.2732,                0.91934,                0.92953,                0.95766,                0.61437,                 1.2837,                0.55524,                 1.3638,              0.0018229,              0.0018229,              0.0018229
