                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4808,                 1.6209,                 1.5198,                 0.5969,                0.67841,                0.62884,                0.34664,                 1.4183,                 4.2843,                 1.4847,               0.067688,             0.00039245,             0.00039245
                      2,                 1.4547,                 1.1993,                 1.4778,                 0.4226,                0.66613,                0.47214,                0.27191,                 1.3918,                 4.4598,                 1.3295,               0.034755,             0.00079243,             0.00079243
                      3,                  1.568,                 1.4727,                 1.4705,                0.70864,                0.78919,                0.76387,                0.38651,                 1.4914,                 2.5348,                  1.622,              0.0018213,              0.0011923,              0.0011923
                      4,                 1.4733,                 1.3308,                 1.5053,                0.73852,                0.76996,                0.79202,                0.44058,                 1.3304,                 2.4096,                 1.4723,              0.0011997,              0.0011997,              0.0011997
                      5,                 1.4335,                 1.0675,                  1.479,                0.82272,                 0.8536,                0.86073,                0.46735,                 1.4361,                 1.6606,                 1.5403,              0.0011997,              0.0011997,              0.0011997
                      6,                 1.3806,                 1.0677,                 1.4324,                0.82079,                0.86294,                0.88631,                0.53141,                 1.2645,                 1.3164,                  1.374,              0.0011995,              0.0011995,              0.0011995
                      7,                 1.3645,                0.96156,                 1.4029,                 0.8751,                0.87877,                0.92308,                0.56819,                  1.254,                0.95112,                 1.3752,              0.0011992,              0.0011992,              0.0011992
                      8,                 1.3587,                  0.907,                 1.4227,                0.86466,                0.87754,                0.91034,                0.57747,                 1.2446,                0.85273,                 1.3545,              0.0011988,              0.0011988,              0.0011988
                      9,                 1.3103,                 0.8294,                 1.3765,                0.88502,                0.89175,                0.93219,                  0.598,                 1.2404,                0.80322,                 1.3405,              0.0011984,              0.0011984,              0.0011984
                     10,                 1.3061,                0.81313,                  1.382,                 0.8913,                0.89852,                0.93516,                0.60942,                 1.2425,                0.75699,                 1.3256,              0.0011979,              0.0011979,              0.0011979
                     11,                 1.2695,                0.78993,                 1.3595,                0.88581,                 0.8728,                0.92621,                 0.5957,                 1.2583,                0.79746,                 1.3443,              0.0011974,              0.0011974,              0.0011974
                     12,                 1.2561,                0.74961,                 1.3412,                0.90392,                 0.8931,                0.93513,                0.62136,                 1.2327,                0.70893,                 1.3204,              0.0011967,              0.0011967,              0.0011967
                     13,                 1.2428,                0.71038,                 1.3587,                0.89403,                0.89677,                 0.9326,                0.62134,                 1.2173,                0.70851,                  1.321,              0.0011961,              0.0011961,              0.0011961
                     14,                 1.2384,                0.71069,                  1.334,                  0.902,                0.89519,                0.94072,                0.62649,                 1.1898,                0.70198,                 1.3242,              0.0011953,              0.0011953,              0.0011953
                     15,                 1.2004,                0.66796,                 1.3215,                 0.9113,                0.90385,                0.94407,                0.62164,                 1.2661,                0.67792,                 1.3267,              0.0011945,              0.0011945,              0.0011945
                     16,                 1.2148,                0.67562,                 1.3246,                0.89598,                0.90027,                0.93212,                0.60264,                 1.2977,                0.69216,                  1.382,              0.0011936,              0.0011936,              0.0011936
                     17,                 1.2165,                0.66844,                  1.328,                0.89531,                0.90394,                 0.9381,                0.60467,                 1.2907,                0.68798,                 1.3652,              0.0011927,              0.0011927,              0.0011927
                     18,                 1.2031,                0.63906,                 1.3054,                 0.8968,                0.89818,                0.93566,                0.60917,                 1.2211,                0.67955,                 1.3332,              0.0011917,              0.0011917,              0.0011917
                     19,                 1.1538,                 0.6184,                 1.2915,                0.89581,                  0.914,                 0.9409,                0.63582,                  1.221,                0.63699,                 1.3411,              0.0011906,              0.0011906,              0.0011906
                     20,                 1.1265,                0.59573,                 1.2838,                0.90692,                0.90385,                0.94796,                0.62902,                 1.2424,                0.64214,                 1.3522,              0.0011895,              0.0011895,              0.0011895
                     21,                 1.1489,                0.59777,                 1.2763,                0.90919,                0.89392,                0.94184,                0.62064,                 1.2493,                0.66468,                 1.3725,              0.0011883,              0.0011883,              0.0011883
                     22,                 1.0797,                0.57671,                 1.2451,                0.89018,                 0.9052,                0.93588,                0.61764,                 1.2456,                0.64784,                  1.349,               0.001187,               0.001187,               0.001187
                     23,                 1.0723,                0.57284,                 1.2471,                0.92507,                 0.8946,                0.94309,                0.63262,                 1.2548,                0.63187,                 1.3454,              0.0011857,              0.0011857,              0.0011857
                     24,                 1.0797,                0.58208,                 1.2414,                0.90284,                0.90266,                0.94101,                0.62732,                 1.2024,                0.66363,                 1.3407,              0.0011843,              0.0011843,              0.0011843
                     25,                 1.0632,                0.56039,                 1.2267,                0.90917,                 0.9056,                0.94293,                0.63257,                 1.2184,                0.62538,                 1.3687,              0.0011829,              0.0011829,              0.0011829
                     26,                 1.0811,                0.55422,                 1.2508,                0.91127,                0.90775,                0.93793,                0.61591,                 1.3124,                0.64429,                 1.3796,              0.0011813,              0.0011813,              0.0011813
                     27,                 1.0939,                 0.5838,                 1.2439,                0.91579,                0.89299,                0.93345,                0.61494,                 1.2519,                0.63339,                 1.3819,              0.0011798,              0.0011798,              0.0011798
                     28,                 1.0533,                0.54091,                 1.2256,                0.91212,                0.89878,                0.94099,                0.62854,                  1.263,                0.62405,                 1.3584,              0.0011781,              0.0011781,              0.0011781
                     29,                 1.0491,                0.53058,                 1.2241,                0.88742,                0.91669,                 0.9435,                0.61185,                 1.3129,                0.64424,                 1.3851,              0.0011764,              0.0011764,              0.0011764
                     30,                 1.0692,                0.53046,                 1.2296,                0.91088,                0.90087,                0.94386,                0.62522,                 1.2754,                0.62244,                 1.4002,              0.0011746,              0.0011746,              0.0011746
                     31,                 1.0494,                0.52327,                 1.2113,                0.90536,                0.90445,                0.94186,                0.61043,                 1.3545,                0.63254,                 1.4087,              0.0011728,              0.0011728,              0.0011728
                     32,                 1.0132,                0.49591,                 1.2044,                0.91463,                 0.8931,                0.93546,                0.61988,                 1.2984,                0.63409,                 1.3899,              0.0011709,              0.0011709,              0.0011709
                     33,                0.98393,                0.47995,                 1.1804,                0.90149,                0.90893,                0.94394,                 0.6227,                 1.2362,                0.60983,                 1.3939,               0.001169,               0.001169,               0.001169
                     34,                   1.01,                0.48373,                 1.1945,                0.91773,                0.89935,                0.94507,                0.62354,                 1.2709,                 0.6066,                 1.3856,               0.001167,               0.001167,               0.001167
