                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5867,                 1.7422,                 1.6677,                 0.7398,                0.79277,                0.80795,                0.44149,                 1.4307,                 2.7955,                 1.6096,               0.067688,             0.00039245,             0.00039245
                      2,                 1.5593,                 1.3114,                 1.6228,                0.29446,                0.62698,                 0.2847,                0.14155,                 1.6634,                    inf,                 1.5534,               0.034755,             0.00079243,             0.00079243
                      3,                 1.6624,                 1.7397,                 1.7675,                0.15458,                0.81368,                0.14543,                0.06828,                 1.6332,                    inf,                 1.9511,              0.0018213,              0.0011923,              0.0011923
                      4,                 1.5729,                  1.594,                  1.654,                0.65347,                0.82659,                0.66958,                 0.3715,                 1.3231,                 3.6184,                 1.4985,              0.0011997,              0.0011997,              0.0011997
                      5,                 1.5996,                 1.3527,                 1.6312,                0.44654,                0.83258,                0.43816,                0.23535,                 1.4737,                 5.4626,                 1.6665,              0.0011997,              0.0011997,              0.0011997
                      6,                 1.4776,                 1.1448,                 1.6589,                0.66033,                0.86784,                0.66471,                0.36242,                 1.4692,                  4.179,                 1.6432,              0.0011995,              0.0011995,              0.0011995
                      7,                 1.5158,                 1.1403,                 1.6641,                0.83596,                0.86145,                0.89147,                0.47786,                  1.573,                 1.4683,                 1.6899,              0.0011992,              0.0011992,              0.0011992
                      8,                 1.5237,                 1.0526,                 1.6535,                0.85811,                0.87429,                0.91229,                0.52547,                 1.4348,                 1.0943,                 1.5694,              0.0011988,              0.0011988,              0.0011988
                      9,                 1.4522,                0.95416,                 1.5728,                0.87436,                0.88312,                0.92324,                0.54977,                  1.433,                0.95095,                 1.5212,              0.0011984,              0.0011984,              0.0011984
                     10,                 1.4524,                0.91851,                  1.591,                0.86736,                 0.8937,                0.91777,                0.51649,                 1.5864,                0.88282,                 1.6065,              0.0011979,              0.0011979,              0.0011979
                     11,                 1.5156,                0.94339,                 1.6256,                0.87974,                0.86354,                0.91725,                0.55588,                 1.4342,                0.87209,                 1.5362,              0.0011974,              0.0011974,              0.0011974
                     12,                 1.4134,                0.89751,                 1.5638,                0.86295,                0.90176,                0.92134,                0.57417,                 1.3509,                0.88817,                 1.4824,              0.0011967,              0.0011967,              0.0011967
                     13,                 1.4146,                0.84928,                 1.5716,                0.89475,                0.88334,                 0.9263,                0.55693,                 1.5202,                0.82183,                 1.5302,              0.0011961,              0.0011961,              0.0011961
                     14,                 1.3791,                0.81454,                 1.5291,                0.88523,                0.89878,                0.93431,                0.57793,                   1.42,                 0.7575,                 1.4924,              0.0011953,              0.0011953,              0.0011953
                     15,                 1.3512,                0.79296,                 1.5377,                0.88666,                0.90744,                0.93499,                0.58815,                 1.3584,                0.76127,                 1.4828,              0.0011945,              0.0011945,              0.0011945
                     16,                 1.3575,                0.76708,                  1.526,                0.89232,                0.90773,                0.93376,                 0.5768,                 1.4392,                0.71182,                 1.5013,              0.0011936,              0.0011936,              0.0011936
                     17,                 1.3607,                0.74547,                 1.5254,                0.89371,                0.90387,                0.93881,                0.57775,                 1.4405,                0.75115,                 1.5047,              0.0011927,              0.0011927,              0.0011927
                     18,                 1.3478,                0.73839,                  1.515,                0.89438,                0.91527,                0.94338,                0.58804,                 1.4132,                0.71279,                 1.5174,              0.0011917,              0.0011917,              0.0011917
                     19,                 1.3272,                0.71356,                 1.5033,                0.89686,                0.90615,                0.94038,                0.60671,                 1.3476,                0.67017,                 1.4572,              0.0011906,              0.0011906,              0.0011906
                     20,                 1.3175,                0.69941,                  1.521,                 0.9025,                0.90534,                0.94527,                0.58255,                 1.4319,                 0.6861,                 1.4882,              0.0011895,              0.0011895,              0.0011895
                     21,                 1.3202,                0.69528,                 1.4842,                0.89615,                0.92247,                0.94334,                0.60476,                 1.3433,                0.68789,                 1.4687,              0.0011883,              0.0011883,              0.0011883
                     22,                 1.3105,                0.67746,                 1.5024,                0.88558,                0.91284,                0.93653,                0.56024,                 1.5069,                0.67795,                 1.5408,               0.001187,               0.001187,               0.001187
                     23,                 1.2962,                0.68055,                 1.4832,                 0.9027,                0.90684,                0.94717,                0.60604,                 1.3796,                0.65424,                  1.475,              0.0011857,              0.0011857,              0.0011857
                     24,                 1.3175,                0.67601,                 1.4877,                0.90947,                0.90887,                0.95072,                 0.5993,                 1.3973,                0.67089,                 1.4793,              0.0011843,              0.0011843,              0.0011843
                     25,                 1.2425,                 0.6347,                 1.4423,                0.90783,                0.90296,                0.93841,                0.58114,                 1.4787,                  0.664,                 1.5192,              0.0011829,              0.0011829,              0.0011829
                     26,                 1.2558,                0.64026,                 1.4532,                 0.9124,                0.90087,                0.94499,                0.55557,                 1.5803,                0.67027,                  1.566,              0.0011813,              0.0011813,              0.0011813
                     27,                 1.2753,                0.66804,                 1.4603,                  0.895,                0.90982,                0.93826,                0.58498,                 1.3676,                 0.6913,                 1.5043,              0.0011798,              0.0011798,              0.0011798
                     28,                 1.2655,                 0.6453,                 1.4709,                0.90229,                0.91012,                0.94301,                0.58211,                 1.4443,                0.64293,                 1.5286,              0.0011781,              0.0011781,              0.0011781
